YEAR,MONTH,DATE,POS NO.,ITEM NO.,PRODUCT DESCRIPTION,SRP,UOM,CONVERTER,DISC,ORIG QTY,QTY UOM,PACK,KG,PCS,CURRENCY,AMOUNT,COMM RATE,NET SALES,SKU CATEGORY,AREA,KAM,CHAIN,BANNER,SKU number,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,APRIL,04/01/2024,POS24040100061,3,THE GOOD MEAT PORK CUBES,409.00,KGs,"x 1,000", ,450.00000,Gs,0.00000,0.45000,0.00000,PHP,184.05000,15%,156.44000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORK CUBES,PORK CUBES,PORK CUBES,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100064,1,THE GOOD MEAT BELLY SOBI/BELLY SLICED,479.00,KGs,"x 1,000", ,1.00000,Gs,0.00000,0.00100,0.00000,PHP,658.63000,15%,559.83000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100066,1,THE GOOD MEAT ADOBO CUT,379.00,KGs,"x 1,000", ,500.00000,Gs,0.00000,0.50000,0.00000,PHP,189.50000,15%,161.08000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100068,1,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100088,5,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100090,1,THE GOOD MEAT CHICKEN BREAST,249.00,KGs,"x 1,000", ,495.00000,Gs,0.00000,0.49500,0.00000,PHP,123.26000,15%,104.77000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN BREAST,CHICKEN BREAST,CHICKEN BREAST,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100106,5,THE GOOD MEAT PORK STEAK,389.00,KGs,"x 1,000", ,500.00000,Gs,0.00000,0.50000,0.00000,PHP,194.50000,15%,165.32000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100106,6,THE GOOD MEAT CUTLETS,409.00,KGs,"x 1,000", ,305.00000,Gs,0.00000,0.30500,0.00000,PHP,124.75000,15%,106.03000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORK CUTLETS,PORK CUTLETS,LAMAN,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100440,2,THE GOOD MEAT REGULAR GROUND PORK,319.00,KGs,"x 1,000", ,470.00000,Gs,0.00000,0.47000,0.00000,PHP,149.93000,15%,127.44000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100450,1,THE GOOD MEAT CHICKEN WHOLE,215.00,KGs,"x 1,000", ,915.00000,Gs,0.00000,0.91500,0.00000,PHP,196.73000,15%,167.22000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN WHOLE,CHICKEN WHOLE,CHICKEN WHOLE,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100454,2,THE GOOD MEAT CHICKEN BREAST,249.00,KGs,"x 1,000", ,965.00000,Gs,0.00000,0.96500,0.00000,PHP,240.29000,15%,204.24000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN BREAST,CHICKEN BREAST,CHICKEN BREAST,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100532,1,THE GOOD MEAT PATA SLICED,359.00,KGs,"x 1,000", ,1.00000,Gs,0.00000,0.00100,0.00000,PHP,403.88000,15%,343.29000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100532,2,THE GOOD MEAT ADOBO CUT,379.00,KGs,"x 1,000", ,560.00000,Gs,0.00000,0.56000,0.00000,PHP,212.24000,15%,180.40000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100543,1,THE GOOD MEAT MARINATED BBQ PORKCHOP,409.00,KGs,"x 1,000", ,620.00000,Gs,0.00000,0.62000,0.00000,PHP,253.58000,15%,215.54000,RTC,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BBQ PORKCHOP,BBQ PORKCHOP,PORK MARINATED,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,RTC,SHOWCASE,TGM
