YEAR,MONTH,CUT-OFF,CHAIN,BANNER,Vendor Code,Store Code,Store Name,SKU#,Barcode,Description,Selling UOM,ORIG QTY,PACK,KILOS,PCS,Sales Amount,Commission,Payable Amount,Note,SKU CATEGORY,AREA,KAM,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380213,380213,TGM BEEF TBONE STEAK/KG       ,KGS,12.99000,0.00000,12.99000,0.00000,8560.41000,1112.85000,7447.56000,-,BEEF,NORTH,BERT,TGM BEEF T-BONE STEAK,BEEF T-BONE STEAK,BEEF TBONE,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380216,380216,TGM BEEF SUKIYAKI CUT/KG      ,KGS,15.33000,0.00000,15.33000,0.00000,9169.83000,1192.08000,7977.75000,-,BEEF,NORTH,BERT,TGM BEEF SUKIYAKI CUT,BEEF SUKIYAKI CUT,BEEF SUKIYAKI CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380222,380222,TGM BEEF BREAKFAST STEAK/KG   ,KGS,1.68200,0.00000,1.68200,0.00000,990.70000,128.79000,861.91000,-,BEEF,NORTH,BERT,TGM BREAKFAST STEAK,BREAKFAST STEAK,BEEF BREAKFAST STEAK,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380223,380223,TGM BEEF STROGANOFF/KG        ,KGS,2.10800,0.00000,2.10800,0.00000,1178.37000,153.19000,1025.18000,-,BEEF,NORTH,BERT,TGM BEEF STROGANOFF,BEEF STROGANOFF,BEEF STROGANOFF,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380224,380224,TGM BEEF CHUCK RIB/KG         ,KGS,1.33600,0.00000,1.33600,0.00000,693.38000,90.14000,603.24000,-,BEEF,NORTH,BERT,TGM BEEF CHUCK RIB,BEEF CHUCK RIB,BEEF CHUCK RIB,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380228,380228,TGM BEEF CAMTO/KG             ,KGS,3.51200,0.00000,3.51200,0.00000,1787.60000,232.39000,1555.21000,-,BEEF,NORTH,BERT,TGM BEEF CAMTO,BEEF CAMTO,BEEF CAMTO,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380229,380229,TGM BEEF SHORT RIBS/KG        ,KGS,3.04200,0.00000,3.04200,0.00000,1517.96000,197.33000,1320.63000,-,BEEF,NORTH,BERT,TGM BEEF SHORT RIBS,BEEF SHORT RIBS,BEEF SHORT RIBS,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380231,380231,TGM BEEF KNEE CAP/KG          ,KGS,11.90600,0.00000,11.90600,0.00000,3878.11000,504.15000,3373.96000,-,BEEF,NORTH,BERT,TGM BEEF KNEE CAP,BEEF KNEE CAP,BEEF KNEE CAP,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380232,380232,TGM BEEF BONE MARROW/KG       ,KGS,6.68200,0.00000,6.68200,0.00000,989.86000,128.68000,861.18000,-,BEEF,NORTH,BERT,TGM BONE MARROW,BONE MARROW,BEEF BONE MARROW,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380235,380235,TGM BEEF KALDERETA CUT/KG     ,KGS,0.66800,0.00000,0.66800,0.00000,326.65000,42.46000,284.19000,-,BEEF,NORTH,BERT,TGM BEEF KALDERETA CUT,BEEF KALDERETA CUT,BEEF KALDERETA CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380236,380236,TGM BEEF TRIPE/KG             ,KGS,2.36000,0.00000,2.36000,0.00000,800.04000,104.01000,696.03000,-,BEEF,NORTH,BERT,TGM BEEF TRIPE,BEEF TRIPE,BEEF TRIPE,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380237,380237,TGM BEEF KENCHIE SHIN/KG      ,KGS,10.91400,0.00000,10.91400,0.00000,4974.17000,646.64000,4327.53000,-,BEEF,NORTH,BERT,TGM BEEF KENCHIE SHIN,BEEF KENCHIE SHIN,BEEF KENCHIE SHIN,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
