YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61755,TGM PORK STEAK,3.02000,KG,0.00000,3.02000,0.00000,1174.78000,140.97300,1033.80700,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61786,TGM TENDERLOIN,4.59000,KG,0.00000,4.59000,0.00000,2089.72000,250.76400,1838.95600,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM PORK TENDERLOIN,PORK TENDERLOIN,PORK TENDERLOIN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61787,TGM TONKATSU SLICE,4.38000,KG,0.00000,4.38000,0.00000,1648.71000,197.84200,1450.86800,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM TONKATSU SLICE,TONKATSU SLICE,TONKATSU SLICE,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61838,TGMT BEEF ROUND,0.89000,KG,0.00000,0.89000,0.00000,550.91000,66.10900,484.80100,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BEEF ROUND,BEEF ROUND,BEEF ROUND,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61840,TGM BEEF SHANK,2.75000,KG,0.00000,2.75000,0.00000,1366.21000,163.94400,1202.26600,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BEEF SHANK,BEEF SHANK,BEEF SHANK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61841,TGM BEEF SHORT RIBS,1.04000,KG,0.00000,1.04000,0.00000,559.08000,67.08900,491.99100,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BEEF SHORT RIBS,BEEF SHORT RIBS,BEEF SHORT RIBS,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61844,TGM BEEF STROGANOFF,1.06000,KG,0.00000,1.06000,0.00000,694.44000,83.33200,611.10800,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BEEF STROGANOFF,BEEF STROGANOFF,BEEF STROGANOFF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61845,TGM BEEF SUKIYAKI CUT,0.48000,KG,0.00000,0.48000,0.00000,291.43000,34.97100,256.45900,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BEEF SUKIYAKI CUT,BEEF SUKIYAKI CUT,BEEF SUKIYAKI CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61850,TGM BREAKFAST STEAK,1.45000,KG,0.00000,1.45000,0.00000,879.34000,105.51900,773.82100,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BREAKFAST STEAK,BREAKFAST STEAK,BEEF BREAKFAST STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61852,TGM GROUND BEEF,2.75000,KG,0.00000,2.75000,0.00000,1075.60000,129.06900,946.53100,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61853,TGM KALDERETA CUT,2.16000,KG,0.00000,2.16000,0.00000,1141.89000,137.02500,1004.86500,BEEF,GMA,ARGIE,BEEF,317511_240408,PUREGOLD,TGM BEEF KALDERETA CUT,BEEF KALDERETA CUT,BEEF KALDERETA CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,721 BLRJR,PUREGOLD JR BALARA,61719,TGM ADOBO CUT,9.10000,KG,0.00000,9.10000,0.00000,3338.79000,400.65300,2938.13700,PORK,GMA,ARGIE,PORK,317512_240408,PUREGOLD,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
