YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,JAN,JAN 1 TO 7,ROBINSON,401,RS METROTOWN TARLAC,655314,THE GOOD MEAT REGULAR GROUND PORK,56.97000,KLS,0.00000,56.97000,0.00000,15264.87000,2137.08180,13127.78820,PORK,NORTH,GELO,PORK,6239,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,15264.87000,0.00000,Tarlac City,Tarlac,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,207,RS SUMMIT RIDGE TAGAYTAY,655717,ROB PILMICO BABY BACK RIBS,34.65500,KLS,0.00000,34.65500,0.00000,15138.23000,1665.20530,13473.02470,PORK,SOUTH,ALBERT,PORK,6445,ROBINSONS SUPERMARKET,ROB PILMICO BABY BACK RIBS,BABY BACK RIBS,BABY BACK RIBS,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,15138.23000,0.00000,Tagaytay,Cavite,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,207,RS SUMMIT RIDGE TAGAYTAY,655813,ROB PILMICO GROUND ROUND,31.50500,KLS,0.00000,31.50500,0.00000,15069.82000,1657.68020,13412.13980,BEEF,SOUTH,ALBERT,BEEF,6470,ROBINSONS SUPERMARKET,ROB PILMICO GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,15069.82000,0.00000,Tagaytay,Cavite,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,210,RS RP TARLAC,655298,THE GOOD MEAT BELLY SOBI,34.06000,KLS,0.00000,34.06000,0.00000,14883.87000,2083.74180,12800.12820,PORK,NORTH,EMMAN,PORK,6226,ROBINSONS SUPERMARKET,PILMICO PORK BELLY SOBI,PORK BELLY SOBI,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,14883.87000,0.00000,Tarlac City,Tarlac,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,655304,THE GOOD MEAT PORKCHOP SOBI,40.97000,KLS,0.00000,40.97000,0.00000,14671.72000,2054.04080,12617.67920,PORK,RIZAL,DENNIS,PORK,6231,SHOPWISE,PILMICO PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,14671.72000,0.00000,Antipolo,Rizal,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,210,RS RP TARLAC,655735,ROB PILMICO KASIM SLBL,45.72500,KLS,0.00000,45.72500,0.00000,14554.02000,1600.94220,12953.07780,PORK,NORTH,EMMAN,PORK,6456,ROBINSONS SUPERMARKET,ROB PILMICO PORK KASIM SLBL,PORK KASIM SLBL,KASIM,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,14554.02000,0.00000,Tarlac City,Tarlac,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,136,RS RP LAS PINAS,655315,THE GOOD MEAT LEAN GROUND PORK,45.56500,KLS,0.00000,45.56500,0.00000,14445.82000,2022.41480,12423.40520,PORK,SOUTH GMA,ELMER,PORK,6240,ROBINSONS SUPERMARKET,PILMICO LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,14445.82000,0.00000,Las Piñas,4th District Metro Manila,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,136,RS RP LAS PINAS,655292,THE GOOD MEAT MENUDO CUT,42.86000,KLS,0.00000,42.86000,0.00000,14393.84000,2015.13760,12378.70240,PORK,SOUTH GMA,ELMER,PORK,6220,ROBINSONS SUPERMARKET,PILMICO PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,14393.84000,0.00000,Las Piñas,4th District Metro Manila,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,221,RS RP PANGASINAN,655517,THE GOOD MEAT BEEF SHANK,28.99500,KLS,0.00000,28.99500,0.00000,14150.18000,1981.02520,12169.15480,BEEF,NORTH,MARTIN,BEEF,6339,ROBINSONS SUPERMARKET,PILMICO BEEF SHANK,BEEF SHANK,BEEF SHANK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,14150.18000,0.00000,Calasiao,Pangasinan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,251,RS ALICIA ISABELA,655314,THE GOOD MEAT REGULAR GROUND PORK,52.47500,KLS,0.00000,52.47500,0.00000,14098.53000,1973.79420,12124.73580,PORK,NORTH,FLORANTE,PORK,6239,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,14098.53000,0.00000,Alicia,Isabela,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,262,RS RP LA UNION,655514,THE GOOD MEAT GROUND ROUND,30.74000,KLS,0.00000,30.74000,0.00000,14098.26000,1973.75640,12124.50360,BEEF,NORTH,MARTIN,BEEF,6337,ROBINSONS SUPERMARKET,PILMICO GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,14098.26000,0.00000,San Fernando,La Union,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,207,RS SUMMIT RIDGE TAGAYTAY,655711,ROB PILMICO PORK ADOBO CUT,42.37000,KLS,0.00000,42.37000,0.00000,13878.93000,1526.68230,12352.24770,PORK,SOUTH,ALBERT,PORK,6439,ROBINSONS SUPERMARKET,ROB PILMICO ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,13878.93000,0.00000,Tagaytay,Cavite,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,657472,THE GOOD MEAT PORK SPARERIBS,32.18500,KLS,0.00000,32.18500,0.00000,13772.01000,1928.08140,11843.92860,PORK,RIZAL,DENNIS,PORK,7075,SHOPWISE,PILMICO PORK SPARERIBS,PORK SPARERIBS,RIB SHOULDER,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,13772.01000,0.00000,Antipolo,Rizal,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,111,RS BLUEWAVE MARIKINA,655710,ROB PILMICO PORK BELLY SOBI,29.09500,KLS,0.00000,29.09500,0.00000,13600.16000,1496.01760,12104.14240,PORK,GMA,DENNIS,PORK,6438,ROBINSONS SUPERMARKET,ROB PILMICO PORK BELLY SOBI,PORK BELLY SOBI,BELLY,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,13600.16000,0.00000,Marikina,2nd District Metro Manila,PORK,SHOWCASE,TGM
