,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17025700),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025700          ,                            PO No: 17025700        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2012-METRO GAISANO MARKET (BINONDO)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21844,TGM - PORK BABY BACK RIBS - KILO,7-Jan-24,7-Jan-24,KG,3.38,88,"1,479.44","1,301.91",0,"1,301.91  "
21845,TGM - PORK CUBES - KILO,7-Jan-24,7-Jan-24,KG,0.28,88,90.48,79.62,0,79.62  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,7-Jan-24,7-Jan-24,KG,0.72,88,270.99,238.47,0,238.47  
21871,TGM - BEEF CUBES - KILO,7-Jan-24,7-Jan-24,KG,0.55,88,290.95,256.04,0,256.04  
21873,TGM - BEEF SIRLOIN - KILO,7-Jan-24,7-Jan-24,KG,1.14,88,717.06,631.01,0,631.01  
21878,TGM - BEEF KALITIRAN - KILO,7-Jan-24,7-Jan-24,KG,0.83,88,480.57,422.9,0,422.90  
21882,TGM - BEEF RIB EYE STEAK - KILO,7-Jan-24,7-Jan-24,KG,0.58,88,453.68,399.24,0,399.24  
21826,TGM - PORKCHOP SOBI - KILO,8-Jan-24,8-Jan-24,KG,0.49,88,175.91,154.8,0,154.80  
21834,TGM - REGULAR GROUND PORK - KILO,8-Jan-24,8-Jan-24,KG,1.53,88,408.89,359.82,0,359.82  
21838,TGM - PORK MENUDO CUT - KILO,8-Jan-24,8-Jan-24,KG,0.11,88,37.29,32.82,0,32.82  
21841,TGM - LEAN GROUND PORK - KILO,8-Jan-24,8-Jan-24,KG,0.7,88,221.71,195.1,0,195.10  
21843,TGM - PORK STEAK - KILO,8-Jan-24,8-Jan-24,KG,0.48,88,154.58,136.03,0,136.03  
21844,TGM - PORK BABY BACK RIBS - KILO,8-Jan-24,8-Jan-24,KG,2.42,88,"1,058.00",931.04,0,931.04  
21846,TGM - PORK RIB SHOULDER - KILO,8-Jan-24,8-Jan-24,KG,2.19,88,764.31,672.59,0,672.59  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,8-Jan-24,8-Jan-24,KG,0.63,88,236.88,208.45,0,208.45  
21855,TGM - PORK TENDERLOIN - KILO,8-Jan-24,8-Jan-24,KG,0.53,88,219.98,193.58,0,193.58  
21862,TGM - PORKCHOP BONELESS - KILO,8-Jan-24,8-Jan-24,KG,3.21,88,"1,262.04","1,110.60",0,"1,110.60  "
21882,TGM - BEEF RIB EYE STEAK - KILO,8-Jan-24,8-Jan-24,KG,0.61,88,477.35,420.07,0,420.07  
21826,TGM - PORKCHOP SOBI - KILO,9-Jan-24,9-Jan-24,KG,1.66,88,572.88,504.13,0,504.13  
21832,TGM - PORK BELLY SOBI - KILO,9-Jan-24,9-Jan-24,KG,1.39,88,588.37,517.77,0,517.77  
21834,TGM - REGULAR GROUND PORK - KILO,9-Jan-24,9-Jan-24,KG,1.11,88,297.25,261.58,0,261.58  
21838,TGM - PORK MENUDO CUT - KILO,9-Jan-24,9-Jan-24,KG,1.54,88,522.06,459.41,0,459.41  
21841,TGM - LEAN GROUND PORK - KILO,9-Jan-24,9-Jan-24,KG,1.08,88,342.93,301.78,0,301.78  
21843,TGM - PORK STEAK - KILO,9-Jan-24,9-Jan-24,KG,3.65,88,"1,195.41","1,051.96",0,"1,051.96  "
21844,TGM - PORK BABY BACK RIBS - KILO,9-Jan-24,9-Jan-24,KG,4.57,88,"1,942.47","1,709.37",0,"1,709.37  "
21846,TGM - PORK RIB SHOULDER - KILO,9-Jan-24,9-Jan-24,KG,0.76,88,263.5,231.88,0,231.88  
21851,TGM - PORK LIVER - KILO,9-Jan-24,9-Jan-24,KG,0.48,88,4.58,4.03,0,4.03  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,9-Jan-24,9-Jan-24,KG,1.69,88,629.52,553.98,0,553.98  
21855,TGM - PORK TENDERLOIN - KILO,9-Jan-24,9-Jan-24,KG,0.51,88,203.01,178.65,0,178.65  
21859,TGM - PORK BACON SLICE - KILO,9-Jan-24,9-Jan-24,KG,0.81,88,379.89,334.3,0,334.30  
21862,TGM - PORKCHOP BONELESS - KILO,9-Jan-24,9-Jan-24,KG,0.57,88,225.44,198.39,0,198.39  
21866,TGM - PORK ADOBO CUT - KILO,9-Jan-24,9-Jan-24,KG,1.35,88,420.38,369.93,0,369.93  
21870,TGM - KASIM SOBL - KILO,9-Jan-24,9-Jan-24,KG,1.54,88,535.72,471.43,0,471.43  
21871,TGM - BEEF CUBES - KILO,9-Jan-24,9-Jan-24,KG,1.02,88,529.74,466.17,0,466.17  
21825,TGM - GROUND BEEF - KILO,10-Jan-24,10-Jan-24,KG,0.53,88,195.57,172.1,0,172.10  
21826,TGM - PORKCHOP SOBI - KILO,10-Jan-24,10-Jan-24,KG,0.74,88,263.87,232.21,0,232.21  
21834,TGM - REGULAR GROUND PORK - KILO,10-Jan-24,10-Jan-24,KG,1.2,88,322.8,284.06,0,284.06  
21841,TGM - LEAN GROUND PORK - KILO,10-Jan-24,10-Jan-24,KG,1.42,88,435.91,383.6,0,383.60  
21844,TGM - PORK BABY BACK RIBS - KILO,10-Jan-24,10-Jan-24,KG,2.74,88,"1,198.48","1,054.66",0,"1,054.66  "
21862,TGM - PORKCHOP BONELESS - KILO,10-Jan-24,10-Jan-24,KG,0.95,88,379.05,333.56,0,333.56  
21865,TGM - PORK SAMGYEOPSAL - KILO,10-Jan-24,10-Jan-24,KG,1.06,88,494.8,435.42,0,435.42  
21872,TGM - GROUND ROUND - KILO,10-Jan-24,10-Jan-24,KG,1.96,88,878.31,772.91,0,772.91  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,11-Jan-24,11-Jan-24,EA,1,88,260,228.8,0,228.80  
21834,TGM - REGULAR GROUND PORK - KILO,11-Jan-24,11-Jan-24,KG,0.51,88,137.19,120.73,0,120.73  
21837,TGM - PORK SINIGANG CUT - KILO,11-Jan-24,11-Jan-24,KG,0.65,88,167.06,147.01,0,147.01  
21841,TGM - LEAN GROUND PORK - KILO,11-Jan-24,11-Jan-24,KG,0.32,88,100.49,88.43,0,88.43  
21844,TGM - PORK BABY BACK RIBS - KILO,11-Jan-24,11-Jan-24,KG,4.11,88,"1,797.72","1,581.99",0,"1,581.99  "
21851,TGM - PORK LIVER - KILO,11-Jan-24,11-Jan-24,KG,0.27,88,53.73,47.28,0,47.28  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,11-Jan-24,11-Jan-24,KG,1.62,88,612.09,538.64,0,538.64  
21862,TGM - PORKCHOP BONELESS - KILO,11-Jan-24,11-Jan-24,KG,0.88,88,349.13,307.23,0,307.23  
21866,TGM - PORK ADOBO CUT - KILO,11-Jan-24,11-Jan-24,KG,1.5,88,473.93,417.06,0,417.06  
21826,TGM - PORKCHOP SOBI - KILO,12-Jan-24,12-Jan-24,KG,0.63,88,224.38,197.45,0,197.45  
21832,TGM - PORK BELLY SOBI - KILO,12-Jan-24,12-Jan-24,KG,0.32,88,138.29,121.7,0,121.70  
21834,TGM - REGULAR GROUND PORK - KILO,12-Jan-24,12-Jan-24,KG,0.24,88,64.56,56.81,0,56.81  
21838,TGM - PORK MENUDO CUT - KILO,12-Jan-24,12-Jan-24,KG,0.59,88,200.01,176.01,0,176.01  
