YEAR,MONTH,CUT-OFF,SKU,Description,Tran Date,Post Date,Sell UOM,QTY,PACK,KG,PC,Concession Rate (%),Gross Sales Amt  (Incl of VAT),Concession Amt  (Excl of VAT),Input VAT,Concession Amt (Incl of VAT),AREA,CHAIN,BANNER,STORE CODE,BRANCH,SKU CATEGORY,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JUN,JUN 1 TO 30,21838,TGM - PORK MENUDO CUT - KILO,6/2/2024,6/2/2024,KG,5.73000,0.00000,5.73000,0.00000,88,2089.95000,1839.16000,0.00000,1839.16000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21839,TGM - PATA SLICED - KILO,6/2/2024,6/2/2024,KG,0.88000,0.00000,0.88000,0.00000,88,280.72000,247.03000,0.00000,247.03000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21841,TGM - LEAN GROUND PORK - KILO,6/2/2024,6/2/2024,KG,9.45000,0.00000,9.45000,0.00000,88,3184.20000,2802.10000,0.00000,2802.10000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21845,TGM - PORK CUBES - KILO,6/2/2024,6/2/2024,KG,1.01000,0.00000,1.01000,0.00000,88,363.65000,320.01000,0.00000,320.01000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK CUBES,PORK CUBES,PORK CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21859,TGM - PORK BACON SLICE - KILO,6/2/2024,6/2/2024,KG,0.26000,0.00000,0.26000,0.00000,88,118.46000,104.24000,0.00000,104.24000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21871,TGM - BEEF CUBES - KILO,6/2/2024,6/2/2024,KG,0.50000,0.00000,0.50000,0.00000,88,246.52000,216.94000,0.00000,216.94000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF CUBES,BEEF CUBES,BEEF CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21872,TGM - GROUND ROUND - KILO,6/2/2024,6/2/2024,KG,4.50000,0.00000,4.50000,0.00000,88,1832.34000,1612.46000,0.00000,1612.46000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21873,TGM - BEEF SIRLOIN - KILO,6/2/2024,6/2/2024,KG,1.77000,0.00000,1.77000,0.00000,88,1126.83000,991.61000,0.00000,991.61000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF SIRLOIN,BEEF SIRLOIN,BEEF SIRLOIN,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21901,TGM - OX TRIPE - KILO,6/2/2024,6/2/2024,KG,0.42000,0.00000,0.42000,0.00000,88,140.69000,123.81000,0.00000,123.81000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF TRIPE,BEEF TRIPE,BEEF TRIPE,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21825,TGM - GROUND BEEF - KILO,6/3/2024,6/3/2024,KG,1.01000,0.00000,1.01000,0.00000,88,362.59000,319.08000,0.00000,319.08000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
