YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61850,TGM BREAKFAST STEAK,1.10000,KG,0.00000,1.10000,0.00000,675.55000,81.06400,594.48600,BEEF,SOUTH GMA,ARGIE,BEEF,317510_240701,PUREGOLD,TGM BREAKFAST STEAK,BREAKFAST STEAK,BEEF BREAKFAST STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61852,TGM GROUND BEEF,9.79000,KG,0.00000,9.79000,0.00000,3806.19000,456.73800,3349.45200,BEEF,SOUTH GMA,ARGIE,BEEF,317510_240701,PUREGOLD,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,11295,TGM OXTRIPE,2.06000,KG,0.00000,2.06000,0.00000,602.87000,72.34400,530.52600,BEEF,GMA,ARGIE,BEEF,317511_240701,PUREGOLD,TGM BEEF TRIPE,BEEF TRIPE,BEEF TRIPE,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,20481,TGM PORK HUMBA CUT,1.05000,KG,0.00000,1.05000,0.00000,413.70000,49.64400,364.05600,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM PORK HUMBA CUT,PORK HUMBA,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61720,TGM BABY BACK RIBS,2.56000,KG,0.00000,2.56000,0.00000,1151.69000,138.20200,1013.48800,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM BABY BACK RIBS,BABY BACK RIBS,BABY BACK RIBS,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61721,TGM BACON SLICE,0.48000,KG,0.00000,0.48000,0.00000,242.02000,29.04200,212.97800,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61732,TGM KASIM SOBL,33.47000,KG,0.00000,33.47000,0.00000,11888.97000,1426.67400,10462.29600,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM PORK KASIM SOBL,PORK KASIM SOBL,KASIM,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61735,TGM MENUDO CUT,0.25000,KG,0.00000,0.25000,0.00000,91.25000,10.95000,80.30000,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61736,TGM PATA FRONT,2.57000,KG,0.00000,2.57000,0.00000,851.18000,102.14100,749.03900,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM PATA FRONT,PATA FRONT,PATA FRONT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61744,TGM PORK LIVER,1.91000,KG,0.00000,1.91000,0.00000,425.70000,51.08000,374.62000,PORK,GMA,ARGIE,PORK,317511_240701,PUREGOLD,TGM PORK LIVER,PORK LIVER,PORK LIVER,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
